bi1	bi2	KC=3	KC=5	KC=7
1.25	3.25	0.010112026	0.013341987	0.076649272
1.5	3.25	0.025995319	0.013880615	0.025487481
1.75	3.25	0.039371114	0.003718499	0.02841787
2	3.25	0.048506615	0.022604483	0.048271079
2.25	3.25	0.053395749	0.032791261	0.078270859
2.5	3.25	0.045807485	0.023816924	0.021828806
2.75	3.25	0.052739052	0.025538633	0.082874427
3	3.25	0.044533095	0.03250397	0.031431132
3.25	3.25	0.035897741	0.017039927	0.008304252
3.5	3.25	0.034282697	0.000129045	0.016601764
3.75	3.25	0.030266758	0.002779654	0.015908866
4	3.25	0.028399458	0.006289638	0.038415868
1.25	3.5	0.435675369	0.553430853	0.552072566
1.5	3.5	0.011562069	0.038512613	0.065178229
1.75	3.5	0.041944222	0.032888024	0.012591945
2	3.5	0.056788162	0.046461203	0.040987217
2.25	3.5	0.062926434	0.009214708	0.010732377
2.5	3.5	0.052541225	0.001902715	0.077344186
2.75	3.5	0.057759315	0.044712121	0.067388947
3	3.5	0.049425305	0.000662772	0.061328843
3.25	3.5	0.041766608	0.024605235	0.005262497
3.5	3.5	0.041038183	0.006569953	0.040675746
3.75	3.5	0.039755868	0.007645739	0.050381347
4	3.5	0.034112849	0.004281067	0.025833034
1.5	3.75	0.015182187	0.04116443	0.04726858
1.75	3.75	0.03578477	0.036765652	0.016467815
2	3.75	0.051813107	0.008554062	0.168571601
2.25	3.75	0.054697662	0.066633617	0.011097464
2.5	3.75	0.058045397	0.039375707	0.045534441
2.75	3.75	0.064880115	0.051835616	0.100165098
3	3.75	0.055089797	0.016019009	0.0694034
3.25	3.75	0.050390344	0.012789578	0.076048349
3.5	3.75	0.050771668	0.02883094	0.023140248
3.75	3.75	0.054851261	0.043434439	0.049610048
4	3.75	0.053494888	0.029686772	0.034225134
1.5	4	0.453438254	0.544367426	0.528257188
1.75	4	0.036397324	0.093508235	0.009732503
2	4	0.047394669	0.026943487	0.024874025
2.25	4	0.064452266	0.014354807	0.014710521
2.5	4	0.069345386	0.027239587	0.070516554
2.75	4	0.065820064	0.033404148	0.019500826
3	4	0.059296713	0.040587821	0.017894089
3.25	4	0.057955469	0.032766316	0.04159046
3.5	4	0.06231212	0.01784133	0.020776648
3.75	4	0.061907182	0.032522115	0.011815529
4	4	0.05401973	0.006357744	0.069522872
